﻿﻿﻿﻿﻿﻿ip,tftp_server,image_file,IOS Status ,MD5
10.107.207.1,10.107.209.176,cat9k_iosxe.17.09.06a.SPA.bin,OK,90427ca117f07a4b04850c553b2daa50
10.107.207.61,10.107.209.176,cat9k_iosxe.17.12.05.SPA.bin,OK,e032ebc5e8a9e050635a9b9d97dba49c
10.107.207.63,10.107.209.176,cat9k_iosxe.17.12.05.SPA.bin,OK,e032ebc5e8a9e050635a9b9d97dba49c
10.107.207.64,10.107.209.176,cat9k_iosxe.17.12.05.SPA.bin,OK,e032ebc5e8a9e050635a9b9d97dba49c
